Fecha,PIB,inflacion_subyacente,inflacion_no_subyacente,tasa_desocupacion,tasa_participacion,importaciones_manufactura,exportaciones_manufactura,formacion_bruta_capital_fijo,turismo_interior,prod_laboral_constructoras
2005/01,0.2216317702,0.35000000000000003,-0.023333333333333355,-0.026653453650000006,0.07800224605,14563929.333333334,12794650.0,0.8296619253333334,1.1369916517,-1.8899251186
2005/02,0.0217472532,0.20666666666666667,-0.6966666666666667,0.044953985233333334,-0.04886630936666667,16459699.666666666,14761502.666666666,-0.07893947533333334,-0.9232070659,-0.7681980256
2005/03,1.0141020232,0.27666666666666667,0.4066666666666667,-0.12732007456666666,0.1399349047,16659041.666666666,14771468.666666666,0.5231698429999999,0.38171081,0.4434554152
2005/04,1.8532058585,0.24333333333333332,1.5066666666666666,-0.11464121226666667,0.09344442566666666,18306322.0,16070908.0,1.5880697446666667,-0.8447054551,1.3351107268
2006/01,1.9804021523,0.31666666666666665,0.21000000000000005,0.061613034966666654,-0.011144231799999996,17198393.666666668,15448989.333333334,0.7998086203333333,0.4492491738,1.4481433862
2006/02,0.841554507,0.26,-1.1900000000000002,0.0890996769,-0.2460752289,18833420.333333332,17055104.0,0.3503682893333333,2.6135338151,0.331752619
2006/03,0.2537551278,0.3266666666666667,1.5433333333333332,0.0313574863,0.20088330129999998,19367593.666666668,17219924.0,1.1756498210000002,0.8100621033,0.1463500066
2006/04,0.3613977779,0.2966666666666667,1.24,0.06345853550000001,-0.062358479266666676,20421716.0,17859928.333333332,-0.067691926,1.2322275988,0.7841803442
2007/01,0.7167284911,0.37666666666666665,0.19999999999999998,0.00433569636666667,0.08714500316666667,18481810.666666668,16367105.666666666,0.1875023136666667,1.1807867316,-0.0407277677
2007/02,0.6346615679,0.22666666666666666,-1.3766666666666667,-0.10553723583333334,-0.06770150966666667,20322520.666666668,18318519.666666668,-0.023331924666666632,-0.0569148098,-0.8367078274
2007/03,0.360993577,0.35000000000000003,1.1733333333333333,-0.008193980266666666,-0.16172765666666666,21161058.333333332,19092367.333333332,3.536744491666667,0.5421105814,-0.790996001
