Periodo,PIB,inflacion_subyacente,inflacion_no_subyacente,tasa_desocupacion,tasa_participacion,tasa_informalidad_laboral,importaciones_manufactura,exportaciones_manufactura,formacion_bruta_capital_fijo,turismo_interior,prod_laboral_constructoras
2005/02,0.0217472532,0.62,-2.09,0.1348619557,-0.14659892810000003,-0.34047976146666664,49.379099,44.284508,-0.23681842600000003,-0.9232070659,-0.7681980256
2005/03,1.0141020232,0.83,1.22,-0.3819602237,0.41980471410000003,0.3778757157666666,49.977125,44.314406,1.5695095289999998,0.38171081,0.4434554152
2005/04,1.8532058585,0.73,4.52,-0.3439236368,0.280333277,-0.1167275725,54.918966,48.212724,4.764209234,-0.8447054551,1.3351107268
2006/01,1.9804021523,0.95,0.6300000000000001,0.18483910489999997,-0.03343269539999999,-0.24765170193333338,51.595181,46.346968,2.399425861,0.4492491738,1.4481433862
2006/02,0.841554507,0.78,-3.5700000000000003,0.2672990307,-0.7382256867,-0.054563721333333336,56.500261,51.165312,1.051104868,2.6135338151,0.331752619
2006/03,0.2537551278,0.9800000000000001,4.63,0.0940724589,0.6026499039,-0.05815933110000001,58.102781,51.659772,3.5269494630000002,0.8100621033,0.1463500066
2006/04,0.3613977779,0.89,3.7199999999999998,0.19037560650000002,-0.18707543780000002,-0.19534650836666667,61.265148,53.579785,-0.20307577799999998,1.2322275988,0.7841803442
2007/01,0.7167284911,1.13,0.6,0.013007089100000011,0.2614350095,-0.050962187433333354,55.445432,49.101317,0.5625069410000001,1.1807867316,-0.0407277677
2007/02,0.6346615679,0.6799999999999999,-4.13,-0.3166117075,-0.203104529,0.10593282813333331,60.967562,54.955559,-0.0699957739999999,-0.0569148098,-0.8367078274
2007/03,0.360993577,1.05,3.52,-0.0245819408,-0.48518297,-0.1703995089666667,63.483175,57.277102,10.610233475000001,0.5421105814,-0.790996001
2007/04,0.2554179057,0.9400000000000001,3.44,0.14159413480000002,1.7177019495999999,0.064319456,66.011387,58.375444,-2.322905611,-0.3291017561,-0.8657565971
2008/01,-0.0270171247,1.35,1.9300000000000002,0.03953027220000001,-0.6535093355,-0.060187397799999987,60.698227,54.248943,2.1480026610000005,-1.033696441,1.6814962447
2008/02,0.7439518654,1.3399999999999999,-2.1399999999999997,-0.0433953577,-0.2239459721,0.09529635943333331,67.495674,61.302317,3.996713092,-0.1966180022,-1.8238944613
2008/03,0.0792351797,1.39,3.23,0.20319714770000002,-0.37189683279999997,-0.19011179093333333,69.996402,61.591397,-5.3593409130000005,-1.1415783095,-0.2481072177
2008/04,-1.5780251739,1.3199999999999998,6.46,0.6512236008,-0.5383400829,0.3589721419333333,61.044974,53.738918,-5.960178743999999,0.5895596628,0.0613784036
2009/01,-6.1671163174,1.43,-0.21999999999999997,0.5348554593,-0.33870098790000003,0.2669728323333333,45.917608,41.568512,-5.858208426,-0.0073241593,3.7860858729
2009/02,-1.6845861219,0.87,-1.8099999999999998,0.4136255244,0.3434597412,0.0668310598,46.723078,44.22968,0.9528802599999999,-7.0528976597,-0.8187125026
2009/03,3.6318690048,0.86,1.53,0.4395594881,1.3919725952,0.18462527483333332,52.770691,48.528045,0.7002642649999997,5.9805571051,0.1509780247
2009/04,2.1823846167,0.9299999999999999,2.24,-0.6308289731,-0.3005484509,-0.05804248780000001,59.088936,55.37224,1.450925269,0.6764434561,0.1432537742
2010/01,0.4205593095,1.51,5.140000000000001,0.0022494117000000508,-0.13573118429999997,-0.04563247943333334,56.774563,54.028828,3.4928869639999998,0.596490816,-0.523664224
2010/02,1.0860691718,0.48,-5.640000000000001,-0.0754965458,-0.28253806280000004,-0.32697057423333337,64.318067,61.705184,-0.12268907900000003,-1.4643004923,0.591160542
2010/03,0.9482044806,0.6699999999999999,2.19,0.020922222699999993,-0.36203905100000006,0.11775283433333332,67.633667,63.520065,1.3744174740000001,0.2695237118,1.0477341137
2010/04,0.8249339571,0.86,5.34,0.25709709410000003,-0.9678170540000001,0.01458156663333334,71.495462,66.491356,2.662434042,-2.14909975,-0.191433516
2011/01,0.6995280022,1.1600000000000001,0.69,-0.41081080329999997,0.7351515061999999,0.022383224633333348,66.899477,64.812736,-1.060048898,1.0110727231,0.0056601325
2011/02,0.3046060432,0.45,-4.78,0.5183705318,0.2537575002,0.09583903926666669,72.856425,70.714076,8.211937225,1.3261009041,1.4179626774
2011/03,1.8745068427,0.61,1.8399999999999999,-0.3384674858,0.6177245387999999,0.12644941519999997,76.426031,71.359587,-1.291296087,1.6730913113,-0.5639671348
2011/04,0.7230932801,1.09,7.65,-0.21375891490000004,0.4671911489,-0.1468184025,77.164657,71.730726,4.452174223,1.773591315,-0.2248306206
2012/01,0.9538809676,1.12,0.49,0.0897910006,-0.3346954078,-0.10677122749999997,73.947571,70.764482,-2.584141634,-0.7117347723,-2.1913048676
2012/02,0.6152925311,0.64,-2.8,-0.2611997433,0.7007779015,0.21355021440000002,78.673418,77.369353,0.2855136719999998,1.4073067963,1.9053834066
2012/03,0.2577485076,0.71,3.2800000000000002,-0.1835514677,-0.42359150910000004,-0.12154610249999999,79.119743,74.910849,3.175659235,-0.1206050185,0.5540368362
2012/04,0.7773434763,0.4,4.7299999999999995,0.30360378730000004,-0.9120695971,-0.1597260668,83.027525,78.948955,-5.342231635,-0.4034898923,0.8875132172
2013/01,0.0884848827,1.23,2.88,0.07506609119999998,-0.14930779940000005,-0.3387535018666667,75.555465,71.186648,2.145749985,-0.0204091748,-0.9932317337
2013/02,-0.4091445416,0.41000000000000003,-2.7399999999999998,0.0210991148,0.9510029301999999,0.020466191500000026,83.5852,80.391235,-4.654961824,1.1886239619,-2.0783509553
2013/03,0.6280987381,0.44,1.23,-0.08701011410000001,-0.23424707009999998,-0.10132862553333337,83.426456,80.724608,-0.20131813199999973,1.4532691987,0.966477989
2013/04,0.4915812506,0.66,6.300000000000001,-0.19088706910000003,1.0303895113000001,0.4013742194,84.049564,82.214615,2.5276576320000004,1.315692619,-0.174480837
2014/01,0.6598702904,1.34,1.65,0.4923899284,-0.8046509508999999,-0.12993745203333332,78.505339,74.57881,1.8831999750000001,-0.4858261864,1.9370946132
2014/02,1.2726841791,0.59,-3.27,-0.4590612452,-1.106663588,-0.25653935046666665,86.788989,85.512658,0.168583482,0.2986659296,0.7735740583
2014/03,0.1684344928,0.69,2.31,-0.04248316290000001,0.7535228327,0.10282882576666667,89.084436,86.913367,-1.2486027430000002,1.0203981237,-0.4248598409
2014/04,0.8494840887,0.56,5.9,-0.6158679874,-0.14257649849999998,0.16490886200000002,90.455644,90.143734,3.6567165470000003,0.6014145005,1.6249540131
2015/01,0.4879196339,0.5700000000000001,0.30999999999999994,0.10693482599999998,-0.4047929749,-0.10794888260000002,81.366523,79.164595,-0.7431329520000001,2.4402584599,0.9971023069
2015/02,0.8766014511,0.49,-3.8699999999999997,0.1381278109,0.20056678730000002,0.03771387123333334,88.904621,86.736307,3.7600634449999997,1.3554319945,1.0158289313
2015/03,1.1771702014,0.74,0.7,-0.2176559991,-0.0726233033,-0.13977835196666666,89.903206,86.656233,2.5208820860000003,3.3047070631,1.6463408725
2015/04,-0.2936390819,0.6,4.22,0.11177724449999998,0.14257559899999994,0.023966799433333342,89.475552,87.269016,-4.484669713,2.2106379142,-1.774104284
2016/01,-0.110517413,0.9099999999999999,1.15,-0.1640443106,-0.585746248,-0.33008612186666664,80.183623,76.516303,1.063971958,-1.2778387597,-0.7359675397
2016/02,0.4460587816,0.6799999999999999,-4.819999999999999,-0.22157737739999997,-0.23691480079999994,-0.003431972099999995,86.068819,84.334388,-0.3773612100000001,-0.0264026375,0.8455024856
2016/03,0.8726095877,0.84,2.17,-0.0778095667,0.8304284105999999,-0.0746567458,88.128812,85.533587,1.2165554479999998,0.9762100184,0.0702946831
2016/04,1.1176457183,0.9500000000000001,4.7,-0.2071030696,-0.3134061692,-0.03492171933333333,88.537043,89.531387,2.364978681,2.0775430218,2.1254281237
2017/01,0.5831120388,1.91,5.8999999999999995,-0.1100052728,0.11266426099999999,0.06560165770000002,84.452611,83.6165,-2.3499490639999996,1.3555450519,-2.0782712867
2017/02,0.1103294976,1.03,-2.05,-0.2493852898,-0.4786371928,-0.07243160709999999,90.675875,91.998827,0.12223878300000002,-1.8724282103,-0.2503720756
2017/03,-0.5951577535,0.8,2.35,0.0627909311,0.11965077679999991,0.09751751466666665,93.564977,91.622752,-0.4982352069999999,-3.7179659681,-0.7734120251
2017/04,1.3972322502,1.01,5.91,0.050495515399999996,-0.030618839100000003,-0.11137239363333333,96.045378,97.042311,2.710268072,0.6698229008,0.0256322381
2018/01,1.2569793051,1.1,1.62,-0.1255280677,0.028471624799999998,0.0408369975,91.587287,91.404463,-0.5928683439999998,5.5190196274,-6.4556492099
2018/02,-0.3084416521,0.64,-2.26,0.0905555059,0.25727453079999996,-0.002394296833333337,99.294062,99.827398,-0.046037621999999945,3.1188777242,-0.0976932363
2018/03,0.3976010359,0.86,3.6100000000000003,-0.025611417600000005,0.1790358871,-0.09458630083333332,101.661129,101.34741,-0.12173426099999984,-0.8084584568,0.2423142355
2018/04,-0.1820840694,1.03,5.2,0.3266669334,-0.04147734850000001,0.10308473543333331,102.788782,104.764534,-6.792041218,-1.2440199635,0.1262532864
2019/01,0.0195895829,0.97,-1.1199999999999999,-0.042833255000000015,0.5294670100000001,-0.0044948766666666655,94.55404,94.616497,2.024687725,0.3540719502,0.3458923036
2019/02,-0.2772106339,0.92,-3.4899999999999998,-0.0773013981,0.10112389620000001,-0.041949206100000004,97.833173,106.065096,-1.0292564080000002,0.5802769708,2.4128209671
2019/03,-0.0072244063,0.76,0.19000000000000003,-0.018805052100000004,0.027351219399999988,0.022596326933333338,101.861052,105.457942,-1.893841475,2.2922963612,-3.4507220418
2019/04,-0.7233110577,0.88,5.08,-0.3269975469,0.06072379,-0.1719285870666667,98.391763,104.649121,-1.122694961,-0.5249531328,-4.7761895656
2020/01,-1.1971930762,0.98,0.46999999999999975,0.12963241390000002,-0.49299946349999996,-0.16021698746666665,90.401322,96.139745,-6.561929945,-0.5036673395,5.135244293
2020/02,-18.9072687933,1.03,-3.3899999999999997,2.1252781843,-6.9987594264999995,-0.7938977743333333,66.923906,65.026385,-9.341399902,-45.6090082818,-2.0382499317
2020/03,15.5154028623,1.04,2.07,-0.6548762216,2.9676320878999998,0.5567446261333333,83.96634,101.23084,8.832094809,22.9337575632,-2.0450180582
2020/04,4.3256562545,0.71,2.2,-0.6300884583999999,0.8665050446999999,0.31442113273333333,95.197015,111.426428,4.013955556000001,15.1624701143,-0.8007984524
2021/01,0.7162028251,1.29,5.45,0.30482006100000003,0.6415359431000001,0.2910806615666667,96.104398,98.178179,5.530308861,-1.9267093065,-0.6844990852
2021/02,0.9421255852,1.47,-0.12000000000000005,-0.48374854060000005,0.9359197383000001,-0.4052125789,104.221825,109.775779,-3.6603878460000003,11.6869434957,-0.8782623976
2021/03,-0.8782630988,1.37,1.5100000000000002,-0.06499955090000001,0.23759489290000002,0.21718328196666667,113.17613,108.888783,4.160145437,6.4088855034,0.0697494021
2021/04,1.1708101214,1.6600000000000001,4.42,-0.11359146360000001,1.2565839794,0.20834002443333335,117.202366,119.239128,0.9869592289999999,4.9643274277,-0.830482458
2022/01,1.3880583402,2.1,3.35,-0.32258627830000003,-0.8986833227,-0.30272698020000005,116.493895,114.932344,6.325979302,0.1786780075,-0.2661320875
2022/02,1.1822138692,2.14,-0.09000000000000008,-0.167179666,0.7852853321000001,0.0205055286,128.383635,129.009858,-1.179629404,3.2787344095,-1.8124875552
2022/03,0.8376210711,2.09,1.9500000000000002,-0.2001449052,0.10714821029999998,-0.13430348536666667,133.109002,132.61562,0.487884945,1.0842570039,-6.7163462999
2022/04,1.1689831415,1.73,0.9199999999999999,-0.15245096689999998,0.21843798010000004,-0.06482406206666666,127.665557,131.863769,6.544415849,1.0669718809,4.5709220327
2023/01,0.5128118133,1.8399999999999999,0.47,-0.1350863724,0.5340539860000001,-0.08048413059999998,123.606854,124.709719,2.501713986,0.7295746947,5.978661099
2023/02,0.7480202986,1.01,-3.65,-0.2088262648,-0.508954141,0.14971744523333333,133.981471,134.175914,6.013287483999999,-1.1710787487,18.0184558688
2023/03,0.7900497824,1.02,2.91,0.0547032707,0.4036866932,-0.4200404243,134.065957,134.180249,2.597415068,-0.5030522882,11.8378762498
2023/04,0.0858941754,1.09,3.68,0.12297603170000002,-0.24457574730000003,-0.05309810423333333,130.90001,135.764987,0.1685117530000002,0.0608545759,-2.3315854747
2024/01,0.208009145,1.33,1.11,-0.0891118975,0.05521088150000003,0.10935916346666667,129.701416,127.076822,-0.702477239,2.6825518054,-10.0969721802
2024/02,-0.1108051929,0.6,-0.2300000000000001,0.02686438690000001,-0.47222410589999997,-0.19407055983333335,143.552594,139.325926,-0.04790383099999995,-2.3211686611,-1.9486744412
2024/03,1.1774973146,0.8200000000000001,1.87,-0.035542535099999994,0.17632685319999997,0.12560714043333332,146.099674,142.43793,0.046243789000000035,1.1921868053,-2.2087464194
2024/04,-0.9759255613,0.8400000000000001,3.15,-0.0713814517,-0.3382864825,-0.0167015839,143.397765,145.59105,-4.966327768,0.791839373,-1.5716228088
2025/01,0.3380608788,1.3199999999999998,-0.61,0.006772548699999999,-0.17286631959999998,0.105342897,133.148934,133.998414,-0.514346899,-0.3014498978,-3.8744160875
2025/02,0.5074304702,1.18,-0.07999999999999999,0.008861656300000006,0.3068598515,0.09953497346666666,143.805222,149.027905,-1.499412639,0.0025520161,0.7541364378
2025/03,0.0669268699,0.86,-0.43999999999999995,0.0950321549,-0.27475064549999995,0.03894000216666665,155.37126,156.448699,-1.608566828,0.3043660302,-1.8332040878
